veh_trip_dtl_id,veh_trip_id,seq_no,time,lat,lng,alt,bearing,speed,accuracy,drv_distance,drv_duration,drv_speed,create_ts
26518403,25670,38,"2017-03-24 07:49:45",22.704146666666663,114.17237333333333,73.2,153.86,5.16369,4.53846,13320,37730,20,"2017-03-24 07:49:52"
26518404,25670,39,"2017-03-24 07:49:46",22.70411166666667,114.17239833333333,73.4,150.69,4.93824,4.42308,13919,38789,20,"2017-03-24 07:49:52"
26518405,25670,40,"2017-03-24 07:49:47",22.704073333333334,114.17242666666668,73.6,148.29,5.17708,4.53846,14457,39750,19,"2017-03-24 07:49:52"
26518406,25670,41,"2017-03-24 07:49:48",22.704041666666665,114.17245833333332,74.3,145.45,5.14465,4.53846,15098,40956,19,"2017-03-24 07:49:52"
26518407,25670,42,"2017-03-24 07:49:49",22.70400833333333,114.17249666666666,74.5,139.76,5.29958,4.65385,15429,41579,20,"2017-03-24 07:49:52"
26518408,25670,43,"2017-03-24 07:49:50",22.703969999999995,114.17253166666666,74.8,135.22,5.48231,4.76923,15861,42349,21,"2017-03-24 07:49:52"
26518409,25670,44,"2017-03-24 07:49:51",22.703944999999997,114.17258666666666,74.5,127.9,5.72526,4.84615,16588,43560,23,"2017-03-24 07:49:52"
26518410,25670,45,"2017-03-24 07:49:52",22.70391833333333,114.17263499999999,74.3,126.75,5.52657,4.73077,17132,44406,22,"2017-03-24 07:49:52"
26518438,25670,46,"2017-03-24 07:49:53",22.703898333333335,114.17268333333335,74.2,121.31,5.27642,4.61538,17759,45425,21,"2017-03-24 07:50:07"
26518439,25670,47,"2017-03-24 07:49:54",22.70388833333333,114.17273666666667,73.9,110.24,5.2162,4.57692,18354,46443,20,"2017-03-24 07:50:07"
26518440,25670,48,"2017-03-24 07:49:55",22.70388666666667,114.17279500000001,73.9,100.62,5.23061,4.57692,19168,47954,17,"2017-03-24 07:50:07"
26518441,25670,49,"2017-03-24 07:49:56",22.70389,114.17285166666667,73.9,94.56,5.14568,4.53846,19573,48931,12,"2017-03-24 07:50:07"
26518442,25670,50,"2017-03-24 07:49:57",22.703891666666664,114.17290166666668,73.8,92.67,4.58463,4.19231,19838,49830,9,"2017-03-24 07:50:07"
26518443,25670,51,"2017-03-24 07:49:58",22.703891666666664,114.17294166666667,73.6,97.44,3.79041,3.73077,20055,50730,7,"2017-03-24 07:50:07"
26518444,25670,52,"2017-03-24 07:49:59",22.703895000000003,114.17296166666665,72.7,100.23,2.75788,3.15385,20190,51474,5,"2017-03-24 07:50:07"
26518445,25670,53,"2017-03-24 07:50:00",22.703891666666664,114.17298333333335,72.5,97.06,2.3461,2.92308,20397,52954,5,"2017-03-24 07:50:07"
26518446,25670,54,"2017-03-24 07:50:01",22.703898333333335,114.17300833333333,72.1,104.16,1.54417,2.42308,20428,53181,4,"2017-03-24 07:50:07"
26518447,25670,55,"2017-03-24 07:50:02",22.703916666666668,114.17304,71,117.91,1.27342,2.19231,20626,54953,4,"2017-03-24 07:50:07"
26518448,25670,56,"2017-03-24 07:50:03",22.703921666666663,114.173045,69.5,134.09,1.11849,2.07692,20738,55953,4,"2017-03-24 07:50:07"
26518449,25670,57,"2017-03-24 07:50:04",22.703911666666666,114.17305333333334,69.1,149.8,1.34909,2.19231,20849,56946,5,"2017-03-24 07:50:07"
26518450,25670,58,"2017-03-24 07:50:05",22.703903333333333,114.17305999999999,68.7,150.73,1.276,2.11538,20938,57586,5,"2017-03-24 07:50:07"
26518451,25670,59,"2017-03-24 07:50:06",22.703891666666664,114.17306666666667,68.1,151.11,1.43865,2.23077,21125,58910,6,"2017-03-24 07:50:07"
26518452,25670,60,"2017-03-24 07:50:07",22.703881666666668,114.17307333333335,67.6,148.19,1.39747,2.23077,21300,59953,6,"2017-03-24 07:50:07"
26518483,25670,61,"2017-03-24 07:50:08",22.70387333333333,114.17308,67.2,145.15,1.27033,2.15385,21369,60365,7,"2017-03-24 07:50:22"
26518484,25670,62,"2017-03-24 07:50:09",22.70387,114.17308333333334,66.9,144.35,1.19158,2.11538,21680,61953,7,"2017-03-24 07:50:22"
26518485,25670,63,"2017-03-24 07:50:10",22.703860000000002,114.17308499999999,66.8,155.18,1.17768,2.11538,21871,62811,7,"2017-03-24 07:50:22"
26518486,25670,64,"2017-03-24 07:50:11",22.703848333333333,114.17309666666667,66.8,143.89,1.98117,2.53846,22032,63926,3,"2017-03-24 07:50:22"
26518487,25670,65,"2017-03-24 07:50:12",22.703838333333337,114.17310666666665,66.8,150.38,1.8669,2.46154,22104,64784,2,"2017-03-24 07:50:22"
26518488,25670,66,"2017-03-24 07:50:13",22.703825,114.17311333333333,66.8,164.05,1.34497,2.15385,22153,65943,0,"2017-03-24 07:50:22"
26518489,25670,67,"2017-03-24 07:50:14",22.703816666666665,114.17311666666667,66.8,174.28,1.07628,2,22153,65943,0,"2017-03-24 07:50:22"
26518490,25670,68,"2017-03-24 07:50:15",22.703813333333333,114.17312166666667,66.9,165.89,0.548694,4.4,22153,65943,0,"2017-03-24 07:50:22"
26518491,25670,69,"2017-03-24 07:50:16",22.703808333333335,114.17312666666666,66.8,144.59,0.680463,4.6,22165,66374,2,"2017-03-24 07:50:22"
26518492,25670,70,"2017-03-24 07:50:17",22.703803333333333,114.17313333333335,66.8,156.38,0.958928,5,22198,66977,3,"2017-03-24 07:50:22"
26518493,25670,71,"2017-03-24 07:50:18",22.7038,114.17313833333334,67.1,161.63,1.09378,2,22281,68175,1,"2017-03-24 07:50:22"
26518494,25670,72,"2017-03-24 07:50:19",22.703793333333337,114.17313833333334,67.2,161.63,0,4.7,22297,68781,0,"2017-03-24 07:50:22"
26518495,25670,73,"2017-03-24 07:50:20",22.703788333333332,114.17313666666665,67.3,161.63,0,3.9,22297,68781,0,"2017-03-24 07:50:22"
26518496,25670,74,"2017-03-24 07:50:21",22.703786666666662,114.17313833333334,67.4,161.63,0,4.1,22313,69311,2,"2017-03-24 07:50:22"
26518497,25670,75,"2017-03-24 07:50:22",22.70378333333333,114.17314,67.6,161.63,0,5.3,22383,70266,4,"2017-03-24 07:50:22"
26518528,25670,76,"2017-03-24 07:50:23",22.703773333333334,114.17314999999999,67.8,161.63,0,5.7,22451,70874,5,"2017-03-24 07:50:37"
26518529,25670,77,"2017-03-24 07:50:24",22.703775000000004,114.17315333333333,68.2,124.39,1.11849,1.96154,22676,72487,5,"2017-03-24 07:50:37"
26518530,25670,78,"2017-03-24 07:50:25",22.703778333333336,114.17315666666667,68.6,116.11,1.02739,1.88462,22816,73370,7,"2017-03-24 07:50:37"
26518531,25670,79,"2017-03-24 07:50:26",22.703778333333336,114.17316333333335,68.6,116.11,0,4.8,23043,74470,9,"2017-03-24 07:50:37"
26518532,25670,80,"2017-03-24 07:50:27",22.703781666666668,114.17317333333334,68.5,116.11,0,5,23326,75475,12,"2017-03-24 07:50:37"
26518533,25670,81,"2017-03-24 07:50:28",22.703793333333337,114.17319166666667,68.5,116.11,0,6.2,23598,76247,14,"2017-03-24 07:50:37"
26518534,25670,82,"2017-03-24 07:50:29",22.703813333333333,114.17320999999998,68.4,49.55,2.51802,2.76923,24084,77487,14,"2017-03-24 07:50:37"
26518535,25670,83,"2017-03-24 07:50:30",22.70384,114.17323333333334,68.4,43.82,3.5418,3.38462,24476,78487,14,"2017-03-24 07:50:37"
26518536,25670,84,"2017-03-24 07:50:31",22.703868333333336,114.17325666666666,68.3,41.55,3.29319,3.23077,24829,79406,13,"2017-03-24 07:50:37"
26518537,25670,85,"2017-03-24 07:50:32",22.703893333333333,114.17327666666667,68,44.17,2.91384,3,25222,80487,13,"2017-03-24 07:50:37"
26518538,25670,86,"2017-03-24 07:50:33",22.703913333333336,114.17329666666667,67.5,48.5,2.9998,3.07692,25384,80933,13,"2017-03-24 07:50:37"
26518539,25670,87,"2017-03-24 07:50:34",22.70393,114.17331833333334,67,54.1,3.04458,3.11538,25781,82025,13,"2017-03-24 07:50:37"
26518540,25670,88,"2017-03-24 07:50:35",22.703951666666665,114.17334833333334,67,64.06,3.46048,3.34615,26227,83366,7,"2017-03-24 07:50:37"
26518541,25670,89,"2017-03-24 07:50:36",22.703961666666668,114.17336666666667,66.8,67.98,2.59986,2.88462,26318,84033,2,"2017-03-24 07:50:37"
26518542,25670,90,"2017-03-24 07:50:37",22.703966666666663,114.17338,66.8,76.81,1.853,2.42308,26360,85000,0,"2017-03-24 07:50:37"
26518573,25670,91,"2017-03-24 07:50:38",22.70396333333333,114.17338166666666,66.1,87.06,1.07577,1.96154,26360,85000,0,"2017-03-24 07:50:52"
26518574,25670,92,"2017-03-24 07:50:39",22.703965,114.17338333333333,65.7,60.2,0.563621,4.4,26360,85000,0,"2017-03-24 07:50:52"
26518575,25670,93,"2017-03-24 07:50:40",22.70396333333333,114.17338,65.3,19.05,0,4,26365,85198,1,"2017-03-24 07:50:52"
26518576,25670,94,"2017-03-24 07:50:41",22.703961666666668,114.17337666666666,64.8,52.49,0,4.1,26413,86265,3,"2017-03-24 07:50:52"
26518577,25670,95,"2017-03-24 07:50:42",22.703956666666667,114.17337666666666,64.6,69.98,0,4,26476,87015,4,"2017-03-24 07:50:52"
26518578,25670,96,"2017-03-24 07:50:43",22.703956666666667,114.17337666666666,64.6,69.98,0,3.5,26636,88308,6,"2017-03-24 07:50:52"
26518579,25670,97,"2017-03-24 07:50:44",22.703939999999996,114.17338333333333,63.7,69.98,0,5.1,26800,89290,7,"2017-03-24 07:50:52"
26518580,25670,98,"2017-03-24 07:50:45",22.703936666666664,114.17339333333332,63.4,69.98,0,5.4,27011,90367,7,"2017-03-24 07:50:52"
26518581,25670,99,"2017-03-24 07:50:46",22.703938333333333,114.17340833333334,63,69.98,0,5.8,27040,90520,7,"2017-03-24 07:50:52"
26518582,25670,100,"2017-03-24 07:50:47",22.703926666666668,114.17342,62.6,118.71,1.68983,2.34615,27294,91821,6,"2017-03-24 07:50:52"
26518583,25670,101,"2017-03-24 07:50:48",22.70392,114.17344,62,127.62,1.79072,2.38462,27456,92787,6,"2017-03-24 07:50:52"
26518584,25670,102,"2017-03-24 07:50:49",22.703908333333334,114.17345333333333,61.5,141.77,1.71248,2.30769,27693,94207,5,"2017-03-24 07:50:52"
26518585,25670,103,"2017-03-24 07:50:50",22.70389,114.17346166666667,61.1,153.11,2.04808,2.46154,27833,95211,4,"2017-03-24 07:50:52"
26518586,25670,104,"2017-03-24 07:50:51",22.703860000000002,114.17347833333334,60.8,149.96,2.56795,2.76923,27959,96339,4,"2017-03-24 07:50:52"
26518587,25670,105,"2017-03-24 07:50:52",22.703835000000005,114.17349333333335,60.3,150.99,2.49486,2.69231,28073,97364,4,"2017-03-24 07:50:52"
26518618,25670,106,"2017-03-24 07:50:53",22.703809999999997,114.17350499999999,60.2,156.48,2.70178,2.84615,28152,98072,5,"2017-03-24 07:51:07"
26518619,25670,107,"2017-03-24 07:50:54",22.703790000000005,114.17351166666667,60,162.29,2.30287,2.61538,28333,99367,5,"2017-03-24 07:51:07"
26518620,25670,108,"2017-03-24 07:50:55",22.703770000000002,114.17351333333333,59.7,163.78,2.16132,2.53846,28337,99401,6,"2017-03-24 07:51:07"
26518621,25670,109,"2017-03-24 07:50:56",22.703746666666667,114.17352000000001,59.3,162.23,2.27095,2.61538,28675,101236,9,"2017-03-24 07:51:07"
26518622,25670,110,"2017-03-24 07:50:57",22.703736666666668,114.17352666666666,58.7,148.08,2.00742,2.42308,28993,102339,13,"2017-03-24 07:51:07"
26518623,25670,111,"2017-03-24 07:50:58",22.70372166666667,114.17354666666667,57.9,124.73,3.14959,3.03846,29128,102710,14,"2017-03-24 07:51:07"
26518624,25670,112,"2017-03-24 07:50:59",22.703700000000005,114.17357333333332,57.3,128.81,3.87946,3.46154,29775,104307,17,"2017-03-24 07:51:07"
26518625,25670,113,"2017-03-24 07:51:00",22.703673333333334,114.17360166666667,56.8,134.47,4.33859,3.69231,30252,105227,21,"2017-03-24 07:51:07"
26518626,25670,114,"2017-03-24 07:51:01",22.703638333333334,114.17363500000002,56.2,134.25,4.79309,3.96154,30882,106251,24,"2017-03-24 07:51:07"
26518627,25670,115,"2017-03-24 07:51:02",22.703599999999998,114.17367,55.7,134.11,5.07053,4.11538,31631,107366,24,"2017-03-24 07:51:07"
26518628,25670,116,"2017-03-24 07:51:03",22.703553333333335,114.173705,55.3,138.76,5.54819,4.42308,32261,108351,22,"2017-03-24 07:51:07"
26518629,25670,117,"2017-03-24 07:51:04",22.703500000000002,114.17373666666666,55,144.36,6.08762,3.72727,32822,109232,24,"2017-03-24 07:51:07"
26518630,25670,118,"2017-03-24 07:51:05",22.70344,114.173765,54.7,148.99,6.52925,3.90909,33576,110334,26,"2017-03-24 07:51:07"
26518631,25670,119,"2017-03-24 07:51:06",22.703385000000004,114.17380166666665,54.5,145.54,7.08618,4.15152,34283,111283,28,"2017-03-24 07:51:07"
26518632,25670,120,"2017-03-24 07:51:07",22.703326666666666,114.17383999999998,54.3,145,7.43928,4.33333,35132,112366,28,"2017-03-24 07:51:07"
26518663,25670,121,"2017-03-24 07:51:08",22.703266666666664,114.17388166666666,54,144.13,7.58186,4.39394,35132,112366,28,"2017-03-24 07:51:22"
26518664,25670,122,"2017-03-24 07:51:09",22.703205000000004,114.17392,54,146.26,7.59164,4.39394,36097,113602,28,"2017-03-24 07:51:22"
26518665,25670,123,"2017-03-24 07:51:10",22.703145000000003,114.17396166666667,53.9,145.39,7.59833,4.39394,36873,114596,28,"2017-03-24 07:51:22"
26518666,25670,124,"2017-03-24 07:51:11",22.703085,114.17400166666667,53.8,146.69,7.68789,4.42424,38258,116363,28,"2017-03-24 07:51:22"
26518667,25670,125,"2017-03-24 07:51:12",22.70302333333333,114.17404,54,148.59,7.82893,4.51515,39032,117332,30,"2017-03-24 07:51:22"
26518668,25670,126,"2017-03-24 07:51:13",22.70296,114.17408333333333,54.4,147.01,8.1918,4.69697,39492,117880,31,"2017-03-24 07:51:22"
26518669,25670,127,"2017-03-24 07:51:14",22.702894999999998,114.17413333333334,54.8,143.3,8.64888,4.90909,40138,118625,32,"2017-03-24 07:51:22"
26518670,25670,128,"2017-03-24 07:51:15",22.70282666666667,114.17418500000001,55,142.29,9.08227,5.12121,41620,120257,34,"2017-03-24 07:51:22"
26518671,25670,129,"2017-03-24 07:51:16",22.702756666666666,114.17423500000001,55.1,143.03,9.1075,5.18182,42627,121312,34,"2017-03-24 07:51:22"
26518672,25670,130,"2017-03-24 07:51:17",22.702681666666663,114.174285,55.1,144,9.27118,5.27273,42803,121497,35,"2017-03-24 07:51:22"
26518673,25670,131,"2017-03-24 07:51:18",22.702608333333334,114.174335,55.1,144.88,9.39214,5.36364,44630,123362,35,"2017-03-24 07:51:22"
26518674,25670,132,"2017-03-24 07:51:19",22.702533333333335,114.17438666666666,55.1,144.57,9.50383,5.45455,45405,124153,34,"2017-03-24 07:51:22"
26518675,25670,133,"2017-03-24 07:51:20",22.702459999999995,114.17444166666668,55.1,144.54,9.40706,5.39394,46397,125224,33,"2017-03-24 07:51:22"
26518676,25670,134,"2017-03-24 07:51:21",22.70238,114.17448666666665,55.4,147.87,9.59391,5.45455,47448,126362,33,"2017-03-24 07:51:22"
26518677,25670,135,"2017-03-24 07:51:22",22.702325000000005,114.174555,55,143.67,9.46729,5.36364,48206,127192,33,"2017-03-24 07:51:22"
26518708,25670,136,"2017-03-24 07:51:23",22.702261666666665,114.17461666666668,54.7,143.41,9.43898,5.33333,49199,128282,33,"2017-03-24 07:51:37"
26518709,25670,137,"2017-03-24 07:51:24",22.702203333333333,114.17468,54.3,141.47,9.14301,5.18182,49442,128549,33,"2017-03-24 07:51:37"
26518710,25670,138,"2017-03-24 07:51:25",22.702143333333332,114.17473666666667,54.3,142.39,8.98808,5.09091,51116,130361,33,"2017-03-24 07:51:37"
26518711,25670,139,"2017-03-24 07:51:26",22.702083333333334,114.174785,55,144.1,8.88565,5.54545,52010,131332,33,"2017-03-24 07:51:37"
26518712,25670,140,"2017-03-24 07:51:27",22.702010000000005,114.17482999999999,55.1,144.24,8.86146,5.39394,52328,131681,32,"2017-03-24 07:51:37"
26518713,25670,141,"2017-03-24 07:51:28",22.701945000000002,114.17487333333332,55.3,146.89,8.83778,5.30303,53426,132914,31,"2017-03-24 07:51:37"
26518714,25670,142,"2017-03-24 07:51:29",22.70188,114.17491833333334,55.4,145.89,8.57321,5.15152,54598,134309,26,"2017-03-24 07:51:37"
26518715,25670,143,"2017-03-24 07:51:30",22.70182833333333,114.17496833333334,55.7,142.95,7.46553,4.57576,55191,135213,19,"2017-03-24 07:51:37"
